labels,cnt
1,133
4,98
0,24
0,316
4,18
0,100
3,35
1,155
2,78
0,19
0,22
2,456
4,21
3,22
1,280
0,246
2,76
2,24
1,18
4,128
3,100
3,88
0,306
3,106
4,204
1,19
3,21
1,146
0,169
2,105
1,88
1,337
0,33
4,105
0,101
3,61
0,293
0,35
0,113
4,251
0,138
2,149
4,104
2,89
4,31
4,20
4,52
3,153
2,340
4,47
4,166
1,50
4,238
0,50
0,36
0,47
1,28
4,28
4,35
1,377
3,31
3,91
0,224
2,52
3,133
0,47
0,178
4,90
2,46
2,80
0,62
3,66
3,126
3,23
0,135
1,74
3,54
1,59
1,162
2,229
0,167
1,105
2,188
0,82
4,91
1,86
4,148
1,83
0,84
3,127
1,16
1,28
4,17
2,87
0,505
1,140
2,160
4,16
3,62
2,35
3,66
2,58
2,192
0,469
1,23
1,153
0,51
3,75
2,46
1,102
3,17
3,300
4,114
2,100
2,43
2,136
3,64
4,31
2,105
1,115
0,346
0,175
4,73
4,57
4,17
2,63
4,19
3,43
0,47
0,284
0,81
1,127
2,126
3,200
2,139
2,38
0,17
4,87
1,116
4,68
2,129
1,74
1,17
2,37
0,185
1,97
4,65
0,132
2,119
1,108
2,94
0,405
0,104
2,106
2,35
0,182
3,54
3,77
0,72
3,100
2,52
2,62
3,29
1,591
1,146
3,18
3,60
1,48
0,204
0,214
2,94
3,108
2,188
1,108
3,71
3,448
4,147
4,38
0,29
3,56
4,59
2,78
3,63
0,141
1,65
2,127
3,54
0,28
0,47
1,279
3,22
3,187
2,86
2,30
0,33
4,44
1,60
1,25
4,28
3,188
3,48
1,416
4,176
0,84
1,173
3,123
4,74
2,80
4,130
0,67
2,37
4,138
2,64
4,34
1,100
0,138
4,24
0,28
4,53
2,56
1,244
0,53
1,115
2,291
2,202
2,120
2,88
1,96
4,31
2,28
4,37
2,77
4,36
2,16
0,55
3,89
2,212
2,108
0,35
4,39
3,54
4,14
1,175
2,130
0,45
2,81
1,277
0,212
2,29
1,639
1,86
0,103
0,10
